timestamp_utc,case_id,family,description,http_status,success,max_tokens,prompt_chars,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-03-07T13:58:07.036636+00:00,smoke_math,smoke,Simple arithmetic sanity check.,200,True,256,12,17,133,150,stop,3861.13,54.596,3095.863,42.96055736316498,406,19,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple mathematical question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate:** 2 + 2 = 4.\n\n4.  **Formulate the Output:*",2 + 2 equals **4**.,
2026-03-07T13:58:24.853680+00:00,smoke_python_lru,smoke,Small coding task for Python.,200,True,768,95,27,734,761,stop,17816.445,51.334,17090.999,42.946582584201195,965,2055,"The user wants a compact but production-usable LRU (Least Recently Used) cache implementation in Python with a short explanation. Let me create something that's:\n\n1. Compact - not too many lines\n2. Production-usable - handles edge cases, th","# Python LRU Cache Implementation\n\n```python\nfrom collections import OrderedDict\nfrom functools import wraps\n\nclass LRUCache:\n    def __init__(self, capacity):\n        self.capacity = capacity\n        self.cache = OrderedDict()\n    \n    def",
2026-03-07T13:58:49.466732+00:00,smoke_java_bugfix,smoke,Small coding task for Java backend debugging.,500,False,1024,166,,,,,24612.727,,,,0,0,,,Failed to parse input at pos 4164: 
2026-03-07T13:58:50.357948+00:00,boundary_max_tokens_8,boundary,Reasoning mode minimum token budget check.,500,False,8,12,,,,,890.944,,,,0,0,,,Failed to parse input at pos 25: 
2026-03-07T13:58:52.506073+00:00,boundary_max_tokens_64,boundary,Reasoning mode small token budget check.,500,False,64,12,,,,,2147.848,,,,0,0,,,Failed to parse input at pos 213: 
2026-03-07T13:58:56.191363+00:00,boundary_max_tokens_128,boundary,Reasoning mode moderate token budget check.,200,True,128,12,17,128,145,length,3684.945,48.931,2963.729,43.188834066812454,423,5,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate:** 2 + 2 = 4.\n\n4.  **Formulate the Output:** ",2 + 2,
2026-03-07T13:59:01.055496+00:00,boundary_max_tokens_256,boundary,Reasoning mode safe token budget check.,200,True,256,12,17,133,150,stop,4863.708,49.236,3080.568,43.173856249886384,398,19,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate:** 2 + 2 = 4.\n\n4.  **Formulate the Output:** ",2 + 2 equals **4**.,
2026-03-07T13:59:22.909991+00:00,context_small,context,"Small code context, intended to stay in low-thousands prompt tokens.",500,False,768,25888,,,,,21853.902,,,,0,0,,,Failed to parse input at pos 3470: 
2026-03-07T14:00:09.367738+00:00,context_medium,context,"Medium code context, intended to simulate multi-file review.",200,True,1024,97783,19728,1024,20752,length,46456.482,8305.3,25418.22,40.286062517359596,2292,2539,"The user is asking me to review this Java code for a transaction and data consistency bug. Let me analyze the code carefully.\n\nLooking at the code, I can see:\n\n1. `UserService.java` - Contains the `updateUserProfile` method\n2. `UserReposito",# Transaction and Data Consistency Bug\n\n## Identified Bug: Missing Transaction Boundary\n\n**Location:** `UserService.updateUserProfile()` method\n\n**Problem:** The user update and audit log save operations are not wrapped in a transaction. Th,
2026-03-07T14:01:42.963561+00:00,context_large,context,"Large code context, intended to stress long-context single-user usage.",500,False,1024,321970,,,,,93591.7,,,,0,0,,,Failed to parse input at pos 4510: 
2026-03-07T14:02:31.880709+00:00,cache_round_1,cache,"Shared-prefix coding request, first round.",500,False,768,97747,,,,,48916.126,,,,0,0,,,Failed to parse input at pos 3351: 
2026-03-07T14:03:01.154120+00:00,cache_round_2,cache,"Shared-prefix coding request, second round with same prefix.",500,False,768,97748,,,,,29272.476,,,,0,0,,,Failed to parse input at pos 3435: 
2026-03-07T14:03:24.968288+00:00,cache_round_3,cache,"Shared-prefix coding request, third round with same prefix.",500,False,768,97747,,,,,23812.938,,,,0,0,,,Failed to parse input at pos 3325: 
2026-03-07T14:03:53.738009+00:00,soak_round_1,soak,Start of sequential single-user soak test.,500,False,768,97718,,,,,28768.837,,,,0,0,,,Failed to parse input at pos 3282: 
2026-03-07T14:04:27.203209+00:00,soak_round_2,soak,Sequential single-user soak test round 2.,500,False,768,97723,,,,,28464.043,,,,0,0,,,Failed to parse input at pos 3292: 
2026-03-07T14:05:04.884870+00:00,soak_round_3,soak,Sequential single-user soak test round 3.,500,False,768,97727,,,,,32680.444,,,,0,0,,,Failed to parse input at pos 3276: 
2026-03-07T14:05:38.903869+00:00,soak_round_4,soak,Sequential single-user soak test round 4.,500,False,768,97725,,,,,29017.879,,,,0,0,,,Failed to parse input at pos 3190: 
2026-03-07T14:06:06.852609+00:00,soak_round_5,soak,Sequential single-user soak test round 5.,200,True,768,97726,19716,768,20484,length,22947.64,319.237,19076.585,40.25877797310158,2243,1224,The user wants me to identify a data validation bug in the provided Java code and suggest a fix.\n\nLooking at the code:\n\n1. `UserService.java` - contains `updateUserProfile` method\n2. `UserRepository.java` - interface for user data access\n3.,# Data Validation Bug\n\n## Bug Description\n\n**Empty String After Trimming**: The `updateUserProfile` method in `UserService.java` does not validate that display name and email fields remain non-empty after trimming whitespace.\n\n**Example Sce,
