timestamp_utc,task_id,task_family,description,readonly,sandbox_write,http_model_path,hermes_exit_code,elapsed_ms,stdout_length,stderr_length,session_id,terminal_tool_used,json_parse_success,validation_success,output_contract_success,readonly_preserved,changed_files_count,changed_files,keyword_hit_count,keyword_hits,error_message,output_preview
2026-03-17T14:35:31.226131+00:00,basic_ready_only,basic,Minimal single-token query should return exact READY output.,True,False,http://127.0.0.1:18343/v1,0,9647.416,42,0,20260317_103522_9aacf3,False,False,True,True,True,0,[],1,"[""READY""]",,READY
2026-03-17T14:35:34.152509+00:00,basic_status_line,basic,Single-line fixed-prefix output should remain stable.,True,False,http://127.0.0.1:18343/v1,0,2924.682,50,0,20260317_103532_6a41bd,False,False,True,True,True,0,[],1,"[""STATUS: READY""]",,STATUS: READY
2026-03-17T14:35:37.352735+00:00,basic_json_only,basic,Strict JSON-only response must be parseable without cleanup.,True,False,http://127.0.0.1:18343/v1,0,3197.521,90,0,20260317_103535_29f775,False,True,True,True,True,0,[],3,"[""ready"", ""local"", ""custom""]",,"{""status"":""ready"",""endpoint"":""local"",""mode"":""custom""}"
2026-03-17T14:35:41.450300+00:00,basic_three_bullets,basic,Longer plain-text response should remain contract-compliant.,True,False,http://127.0.0.1:18343/v1,0,4093.603,241,0,20260317_103538_77d929,False,False,True,False,True,0,[],2,"[""system"", ""user""]",,◆ Use system+user when tool schemas must remain stable across turns.\n◆ Use system+user when prompt caching must not break mid-conversation.\n◆ Use system+user when you need to preserve toolset consistency.
2026-03-17T14:36:02.086971+00:00,repo_entrypoints_json,repo_readonly,Identify the core authority and main entrypoints in CodexGame.,True,False,http://127.0.0.1:18343/v1,0,19724.369,2699,0,20260317_103543_d132ca,True,False,True,False,True,0,[],4,"[""apps/game-runtime"", ""GameRuntimeServer.ts"", ""apps/game-client/src/App.tsx"", ""packages/protocol/src/messages.ts""]",,⠋ (◕ᴗ◕✿) 💻 find . -maxdepth 3 -type f ... (0.0s)\n⠙ (◕ᴗ◕✿) 💻 find . -maxdepth 3 -type f ... (0.1s)\n⠹ (◕ᴗ◕✿) 💻 find . -maxdepth 3 -type f ... (0.2s)\n⠸ (◕ᴗ◕✿) 💻 find . -maxdepth 3 -type f ... (0.4s)\n⠼ (◕ᴗ◕✿) 💻 find . -maxdepth 3 -type f ... (0.5s)\n⠴ (◕ᴗ◕✿) 💻 find . -maxdepth 3 -type f ... (0.6s)\n┊ 🔎 find      GameRuntimeServer  2.4s\n⠋ ( ˘▽˘)っ 💻 ls -la (0.0s)\n⠙ ( ˘▽˘)っ 💻 ls -la (0.1s)\n⠹ ( ˘▽˘)っ 💻 ls -la (0.2s)\n⠸ ( ˘▽˘)っ 💻 ls -la (0.4s)\n⠼ ( ˘▽˘)っ 💻 ls -la (0.5s)\n⠴ ( ˘▽˘)っ 💻 ls -la (0.6s)\n⠋ (≧◡≦) 💻 fi
2026-03-17T14:38:38.137638+00:00,repo_restore_root_cause,repo_readonly,Analyze the boot-time restore inconsistency risk and propose the smallest safe fix.,True,False,http://127.0.0.1:18343/v1,0,155188.409,25081,0,20260317_103603_49692b,True,False,True,True,True,0,[],4,"[""running"", ""thread"", ""stateStore"", ""restore""]",,⠋ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (0.0s)\n⠙ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (0.1s)\n⠹ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (0.2s)\n⠸ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (0.4s)\n⠼ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (0.5s)\n⠴ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (0.6s)\n⠦ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (0.7s)\n⠧ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (0.8s)\n⠇ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (1.0s)\n⠏ ヾ(＾∇＾) 🔎 session.json|restore|boot|r... (1.1s)\n⠋ ヾ(＾∇＾) 🔎
2026-03-17T14:40:21.594722+00:00,repo_metrics_protocol_json,repo_readonly,Explain the protocol-first gap for exposing runtime metrics to the client.,True,False,http://127.0.0.1:18343/v1,0,102573.082,13473,0,20260317_103839_3d4bc0,False,False,True,False,True,0,[],4,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime"", ""apps/game-client"", ""metrics""]",,⠋ ヾ(＾∇＾) 🐍 from hermes_tools import te... (0.0s)\n⠙ ヾ(＾∇＾) 🐍 from hermes_tools import te... (0.1s)\n⠹ ヾ(＾∇＾) 🐍 from hermes_tools import te... (0.2s)\n⠸ ヾ(＾∇＾) 🐍 from hermes_tools import te... (0.4s)\n⠼ ヾ(＾∇＾) 🐍 from hermes_tools import te... (0.5s)\n⠴ ヾ(＾∇＾) 🐍 from hermes_tools import te... (0.6s)\n⠦ ヾ(＾∇＾) 🐍 from hermes_tools import te... (0.7s)\n⠧ ヾ(＾∇＾) 🐍 from hermes_tools import te... (0.8s)\n⠇ ヾ(＾∇＾) 🐍 from hermes_tools import te... (1.0s)\n⠏ ヾ(＾∇＾) 🐍 from hermes_tools import te... (1.1s)\n⠋ ヾ(＾∇＾) 🐍
2026-03-17T14:41:23.533540+00:00,repo_reconnect_circuit_breaker,repo_readonly,Trace the reconnect circuit breaker risk and propose the minimum safe guardrail-preserving fix.,True,False,http://127.0.0.1:18343/v1,0,61058.039,11804,0,20260317_104023_f8ff38,False,False,True,False,True,0,[],4,"[""maxReconnectAttempts"", ""reconnect"", ""circuit breaker"", ""config""]",,⠋ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (0.0s)\n⠙ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (0.1s)\n⠹ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (0.2s)\n⠸ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (0.4s)\n⠼ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (0.5s)\n⠴ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (0.6s)\n⠦ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (0.7s)\n⠧ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (0.8s)\n⠇ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (1.0s)\n⠏ ヾ(＾∇＾) 🔎 reconnect|circuit.*breaker|... (1.1s)\n⠋ ヾ(＾∇＾) 🔎
2026-03-17T14:44:24.410568+00:00,repo_atomic_build_write_guard,repo_readonly,Explain the atomic build write requirement and the smallest safe way to preserve it.,True,False,http://127.0.0.1:18343/v1,124,180020.978,24671,19,,True,False,True,False,True,0,[],0,[],"
TIMEOUT after 180s",⠋ (✿◠‿◠) 💻 find . -maxdepth 2 -type f ... (0.0s)\n⠙ (✿◠‿◠) 💻 find . -maxdepth 2 -type f ... (0.1s)\n⠹ (✿◠‿◠) 💻 find . -maxdepth 2 -type f ... (0.2s)\n⠸ (✿◠‿◠) 💻 find . -maxdepth 2 -type f ... (0.4s)\n⠼ (✿◠‿◠) 💻 find . -maxdepth 2 -type f ... (0.5s)\n⠴ (✿◠‿◠) 💻 find . -maxdepth 2 -type f ... (0.6s)\n⠋ (◕ᴗ◕✿) 📖 ./AGENTS.md (0.0s)\n⠙ (◕ᴗ◕✿) 📖 ./AGENTS.md (0.1s)\n⠹ (◕ᴗ◕✿) 📖 ./AGENTS.md (0.2s)\n⠸ (◕ᴗ◕✿) 📖 ./AGENTS.md (0.4s)\n⠼ (◕ᴗ◕✿) 📖 ./AGENTS.md (0.5s)\n⠴ (◕ᴗ◕✿) 📖 ./AGENTS.md (0.6s)\n⠦ (◕ᴗ◕✿) 📖 ./AGENTS.md (0.
2026-03-17T14:46:54.948043+00:00,repo_top_gaps_json,repo_readonly,Summarize the top 3 engineering gaps already implied by the repository and AGENTS guidance.,True,False,http://127.0.0.1:18343/v1,0,149704.196,23331,0,20260317_104426_8d6970,True,False,True,False,True,0,[],1,"[""metrics""]",,"⠋ ( ˘▽˘)っ 💻 find . -type f -name ""*.ts""... (0.0s)\n⠙ ( ˘▽˘)っ 💻 find . -type f -name ""*.ts""... (0.1s)\n⠹ ( ˘▽˘)っ 💻 find . -type f -name ""*.ts""... (0.2s)\n⠸ ( ˘▽˘)っ 💻 find . -type f -name ""*.ts""... (0.4s)\n⠼ ( ˘▽˘)っ 💻 find . -type f -name ""*.ts""... (0.5s)\n⠴ ( ˘▽˘)っ 💻 find . -type f -name ""*.ts""... (0.6s)\n⠋ ٩(◕‿◕｡)۶ 💻 find apps packages -type f ... (0.0s)\n⠙ ٩(◕‿◕｡)۶ 💻 find apps packages -type f ... (0.1s)\n⠹ ٩(◕‿◕｡)۶ 💻 find apps packages -type f ... (0.2s)\n⠸ ٩(◕‿◕｡)۶ 💻 find apps packages -type f ... (0."
