timestamp_utc,case_id,family,description,http_status,success,max_tokens,prompt_chars,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-03-07T16:32:43.493132+00:00,smoke_math,smoke,Simple arithmetic sanity check.,200,True,256,12,17,132,149,stop,5224.22,54.6,3088.342,42.74138032640167,410,9,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate:** 2 + 2 = 4.\n\n4.  **Formulate the Output:** ",2 + 2 = 4,
2026-03-07T16:33:02.735977+00:00,smoke_python_lru,smoke,Small coding task for Python.,200,True,768,95,27,768,795,length,19212.501,51.455,17950.226,42.78497663483457,1639,1720,"The user wants a production-usable LRU (Least Recently Used) cache implementation in Python. It should be:\n1. Compact (not overly verbose)\n2. Production-usable (proper error handling, thread-safe if needed, good performance)\n3. Include a sh","# Python LRU Cache Implementation\n\nA compact, thread-safe LRU (Least Recently Used) cache implementation using `OrderedDict`. Suitable for production use with performance-critical applications.\n\n```python\nfrom threading import RLock\nfrom co",
2026-03-07T16:33:19.194369+00:00,smoke_java_bugfix,smoke,Small coding task for Java backend debugging.,200,True,1024,166,37,648,685,stop,16446.663,51.267,15150.444,42.77102374029434,1265,1772,"This is a common Java issue. Let me think about the likely root cause and the smallest safe fix for a NullPointerException when loading optional nested config.\n\n**Likely Root Cause:**\n\nWhen loading optional nested configuration, the NPE typ","### Likely Root Cause\n\nA `NullPointerException` during optional nested config loading typically occurs when:\n\n- The optional configuration object is `null` (e.g., not present in the config file or environment).\n- Code accesses a method or p",
2026-03-07T16:33:20.646855+00:00,boundary_max_tokens_8,boundary,Reasoning mode minimum token budget check.,200,True,8,12,17,8,25,length,1451.457,49.444,177.623,45.0392122641775,0,25,,Thinking Process:\n\n1.  **,
2026-03-07T16:33:23.328446+00:00,boundary_max_tokens_64,boundary,Reasoning mode small token budget check.,200,True,64,12,17,64,81,length,2680.609,51.022,1480.374,43.23231831955979,0,213,,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking ""What is 2+2?"". This is a simple arithmetic question.\n\n2.  **Determine the Answer:** 2 + 2 equals 4.\n\n3.  **Formulate the Output:** Keep it direct",
2026-03-07T16:33:27.574116+00:00,boundary_max_tokens_128,boundary,Reasoning mode moderate token budget check.,200,True,128,12,17,128,145,length,4244.455,49.226,2971.479,43.07619202424113,0,424,,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate:** 2 + 2 = 4.\n\n4.  **Formulate the Answer:** ",
2026-03-07T16:33:32.020995+00:00,boundary_max_tokens_256,boundary,Reasoning mode safe token budget check.,200,True,256,12,17,137,154,stop,4445.773,49.342,3183.359,43.036302220390475,368,10,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Determine the Answer:** The sum of 2 and 2 is 4.\n\n3.  **Formulate the Output:** Keep it direct and clear. ""2 + 2 equals 4",2 + 2 = 4.,
2026-03-07T16:33:54.520547+00:00,context_small,context,"Small code context, intended to stay in low-thousands prompt tokens.",200,True,768,25888,5230,768,5998,length,22496.837,2104.8,18284.52,42.00274330417206,3234,272,"The user is asking me to review Java code snippets and identify the top 3 correctness risks, then propose a patch plan.\n\nLooking at the code, I notice that the same module snippets are repeated multiple times (appears to be 15+ times). This",# Code Review: UserService Correctness Risks\n\n## Top 3 Correctness Risks\n\n### 1. **Transaction Atomicity Violation** ⚠️ CRITICAL\nThe `userRepository.save()` and `auditRepository.save()` operations are not transactionally atomic. If the user,
2026-03-07T16:34:31.774386+00:00,context_medium,context,"Medium code context, intended to simulate multi-file review.",200,True,1024,97783,19728,1024,20752,length,37251.854,8316.968,25502.988,40.152157856953856,0,4648,,"The user wants me to review a coding task based on the provided context.\nThe context contains multiple identical snippets of Java code (`UserService.java`, `UserRepository.java`, `UserController.java`).\nI need to identify a transaction and ",
2026-03-07T16:36:06.846234+00:00,context_large,context,"Large code context, intended to stress long-context single-user usage.",200,True,1024,321970,64929,1024,65953,length,95069.172,32765.62,28931.178,35.394341702919945,0,4905,,"The user is asking me to identify a bug in the provided code that could cause data corruption in a production environment. Let me analyze the code carefully.\n\nLooking at the code, I can see three main files:\n1. `UserService.java` - Contains",
2026-03-07T16:36:40.960767+00:00,cache_round_1,cache,"Shared-prefix coding request, first round.",200,True,768,97747,19721,768,20489,length,34113.077,8333.878,19126.011,40.154740055310015,0,3349,,"The user wants me to review a coding task based on the provided context.\nThe context contains multiple copies of the same Java files (`UserService.java`, `UserRepository.java`, `UserController.java`).\nI need to identify a bug in the update ",
2026-03-07T16:37:06.934405+00:00,cache_round_2,cache,"Shared-prefix coding request, second round with same prefix.",200,True,768,97748,19719,768,20487,length,25972.325,317.82,19117.14,40.173373213775704,0,3318,,The user wants me to identify a validation bug in the provided code and suggest a minimal patch.\n\n**1. Analyze the Code:**\nI see multiple identical snippets repeated many times. I need to focus on the content of one snippet.\nThe relevant fi,
2026-03-07T16:37:33.778657+00:00,cache_round_3,cache,"Shared-prefix coding request, third round with same prefix.",200,True,768,97747,19720,768,20488,length,26843.225,318.995,19130.698,40.1449021880958,0,3085,,The user wants me to identify a bug in the audit logging logic within the provided code snippets and suggest a minimal fix.\n\n1.  **Analyze the Context:**\n    *   The context contains multiple identical repetitions of the same three files: `,
2026-03-07T16:38:01.124858+00:00,soak_round_1,soak,Start of sequential single-user soak test.,200,True,768,97718,19715,768,20483,length,27345.145,270.172,19109.257,40.18994563734215,0,3343,,The user wants me to identify a backend bug in the provided Java code snippets and provide a minimal patch outline.\n\n1.  **Analyze the Context:**\n    *   The context consists of multiple repeated snippets of the same three Java files: `User,
2026-03-07T16:38:31.774477+00:00,soak_round_2,soak,Sequential single-user soak test round 2.,200,True,768,97723,19716,768,20484,length,25645.04,318.3,19114.658,40.1785896457054,3617,252,The user wants me to identify an API contract bug in the provided code context and provide a minimal patch outline.\n\nLet me analyze the code:\n\n1. **UserService.java** - Contains the `updateUserProfile` method\n2. **UserRepository.java** - In,"## API Contract Bug\n\n**Location**: `UserService.updateUserProfile(Long userId, UpdateUserProfileCommand command)`\n\n**Issue**: The method accepts `userId` as a separate parameter while the `UpdateUserProfileCommand` object also contains the ",
2026-03-07T16:39:11.292790+00:00,soak_round_3,soak,Sequential single-user soak test round 3.,200,True,768,97727,19716,768,20484,length,34512.718,323.665,19119.755,40.16787872020326,0,3676,,"The user wants me to identify a state management bug in the provided Java code snippets and provide a minimal patch outline.\n\nLooking at the code, I see:\n1. `UserService.java` - Contains the `updateUserProfile` method\n2. `UserRepository.jav",
2026-03-07T16:39:44.819073+00:00,soak_round_4,soak,Sequential single-user soak test round 4.,200,True,768,97725,19716,768,20484,length,28519.931,323.049,19114.75,40.17839626466472,2178,1478,"The user wants me to identify one error handling bug in the provided code snippets and give a minimal patch outline.\n\nLooking at the code snippets, I notice they are all identical (repeated many times in the context). Let me focus on the ac","# Error Handling Bug: Missing Null Validation on Command Parameter\n\n## Bug Description\n\nIn both `UserController.update()` and `UserService.updateUserProfile()`, there is no null check on the `UpdateUserProfileCommand` parameter. If a caller",
2026-03-07T16:40:42.109835+00:00,soak_round_5,soak,Sequential single-user soak test round 5.,200,True,768,97726,19716,768,20484,length,52284.274,322.252,19101.471,40.20632756503412,0,3360,,The user wants me to identify a data validation bug in the provided Java code snippets and provide a minimal patch outline.\n\n**1. Analyze the Code:**\nI see multiple copies of the same code snippets repeated in the prompt. I will focus on th,
