timestamp_utc,task_id,description,repeat_index,http_status,request_success,json_parse_success,validation_success,files_written_count,files_written,summary_preview,content_length,reasoning_content_length,elapsed_ms,prompt_tokens,completion_tokens,total_tokens,prompt_ms,predicted_ms,predicted_per_second,error_message
2026-03-26T02:02:06.195852+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,1,200,True,True,True,2,"[""reconcile/matcher.py"", ""reconcile/report.py""]","Implement find_discrepancies in matcher.py to detect missing_left, missing_right, amount_mismatch, and duplicate_left. Implement render_summary in report.py to output counts of each discrepancy kind.",4169,0,24866.286,1079,972,2051,534.284,22746.925,42.73105046066666,
2026-03-26T02:02:30.893961+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,2,200,True,True,True,2,"[""reconcile/matcher.py"", ""reconcile/report.py""]","Implement find_discrepancies in matcher.py to detect missing_left, missing_right, amount_mismatch, and duplicate_left. Implement render_summary in report.py to output counts of each discrepancy kind.",4013,0,24629.486,1079,998,2077,237.638,23355.504,42.730826960531445,
2026-03-26T02:02:37.079000+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,1,200,True,True,True,1,"[""runtime/restore.py""]","Fix the restore flow so that the 'running' phase is only set after all threads have been successfully created, preventing exposure of running state before threads exist.",796,0,6112.694,748,195,943,372.367,4549.161,42.86504698338881,
2026-03-26T02:02:42.910137+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,2,200,True,True,True,1,"[""runtime/restore.py""]","Fix the restore flow so that the 'running' phase is not set until after all threads are created, preventing exposure of running state before threads exist.",782,0,5769.819,748,194,942,236.953,4524.941,42.87348719021972,
2026-03-26T02:02:52.180409+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,1,200,True,True,True,2,"[""runtime/server.py"", ""client/state.py""]","Move metrics from world_snapshot payload into session_state runtime payload, and update client reducer to extract metrics from session state.",1220,0,9215.403,917,324,1241,428.161,7557.748,42.86991310109837,
2026-03-26T02:03:01.056628+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,2,200,True,True,True,2,"[""runtime/server.py"", ""client/state.py""]","Move metrics from world_snapshot payload into session_state runtime payload, and update client reducer to extract metrics from session state.",1220,0,8827.248,917,324,1241,235.46,7570.009,42.80047751594483,
2026-03-26T02:03:08.998197+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,1,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to group ERROR log lines by signature, count occurrences, and output 'count signature' lines, excluding non-ERROR lines like INFO/WARN.",820,0,7877.463,681,271,952,332.845,6320.986,42.87305809568318,
2026-03-26T02:03:15.234214+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,2,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to group ERROR log lines by signature, count occurrences, and output 'count signature' format, excluding non-ERROR lines.",650,0,6188.407,681,211,892,234.538,4922.383,42.865417014482624,
2026-03-26T02:03:32.658238+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,1,200,True,True,True,3,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime/src/runtime/sessionState.ts"", ""apps/game-client/src/state.ts""]","Move metrics into session.state.payload.runtime and update client reducer to read metrics from there, removing the incorrect world.snapshot.metrics path.",2202,0,17164.916,1078,616,1694,495.397,14399.243,42.780026700014716,
2026-03-26T02:03:48.711116+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,2,200,True,True,True,3,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime/src/runtime/sessionState.ts"", ""apps/game-client/src/state.ts""]",Move metrics into session.state.runtime payload and update client reducer to read metrics from session.state instead of world.snapshot.,2219,0,15815.851,1078,622,1700,236.12,14542.955,42.76984973136477,
2026-03-26T02:03:56.055972+00:00,agentic_ts_restore_bootstrap_patch,Fix a multi-file TypeScript restore/bootstrap flow so running state is not exposed before thread restoration completes.,1,200,True,True,False,1,"[""apps/game-runtime/src/runtime/restore.ts""]","Fix restoreRuntime to set phase to 'restoring' initially and only switch to 'running' after all threads are restored, preventing premature exposure of running state.",850,0,7204.847,777,239,1016,371.915,5566.93,42.93210081678771,
2026-03-26T02:04:03.619168+00:00,agentic_ts_restore_bootstrap_patch,Fix a multi-file TypeScript restore/bootstrap flow so running state is not exposed before thread restoration completes.,2,200,True,True,False,1,"[""apps/game-runtime/src/runtime/restore.ts""]","Fix the restore flow by setting phase to 'restoring' initially and only switching to 'running' after all threads are restored, preventing premature exposure of running state.",859,0,6854.604,777,240,1017,236.135,5586.285,42.96236228549027,
2026-03-26T02:04:12.942125+00:00,agentic_bash_log_triage_gz,"Produce a Bash triage script that handles .log and .log.gz together, normalizes volatile ids, ignores health checks, and sorts counts descending.",1,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to process .log and .log.gz files, normalize volatile IDs, ignore health checks, and output sorted counts.",985,0,9255.702,771,329,1100,368.541,7678.431,42.84729523518542,
2026-03-26T02:04:21.783592+00:00,agentic_bash_log_triage_gz,"Produce a Bash triage script that handles .log and .log.gz together, normalizes volatile ids, ignores health checks, and sorts counts descending.",2,200,True,True,True,1,"[""scripts/triage.sh""]","Implement triage.sh to process .log and .log.gz files, normalize volatile IDs (orderId, providerTxnId, traceId, requestId), ignore healthcheck lines, group by signature, count occurrences, and sort descending by count.",1026,0,8781.571,771,322,1093,235.98,7514.06,42.852998245954915,
2026-03-26T02:04:30.855999+00:00,agentic_python_replay_analyzer_patch,"Produce a working Python replay analyzer that streams JSONL, counts malformed lines, and aggregates per-session turns and invalid outputs.",1,200,True,True,True,1,"[""scripts/replay_analyzer.py""]","Implement the replay analyzer to stream JSONL, count malformed lines, and aggregate per-session turns and invalid_output counts.",1334,0,9008.046,487,322,809,202.458,7527.349,42.777344321354036,
2026-03-26T02:04:39.611775+00:00,agentic_python_replay_analyzer_patch,"Produce a working Python replay analyzer that streams JSONL, counts malformed lines, and aggregates per-session turns and invalid outputs.",2,200,True,True,True,1,"[""scripts/replay_analyzer.py""]","Implement the analyze function to stream JSONL, count malformed lines, and aggregate per-session turns and invalid_output counts.",1328,0,8708.175,487,320,807,204.414,7474.311,42.81331081888351,
