timestamp_utc,task_id,description,repeat_index,http_status,request_success,json_parse_success,validation_success,files_written_count,files_written,summary_preview,content_length,reasoning_content_length,elapsed_ms,prompt_tokens,completion_tokens,total_tokens,prompt_ms,predicted_ms,predicted_per_second,error_message
2026-03-26T03:37:53.557447+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,1,200,True,False,False,0,[],,4071,0,6846.496,1054,931,1985,192.02,4400.046,211.58869702725835,JSONDecodeError('Expecting property name enclosed in double quotes: line 7 column 5 (char 3588)')
2026-03-26T03:37:59.434614+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,2,200,True,False,False,0,[],,3753,0,5870.277,1054,899,1953,81.681,4231.524,212.45300747437565,JSONDecodeError('Expecting value: line 7 column 16 (char 3236)')
2026-03-26T03:38:03.281590+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,1,200,True,True,True,1,"[""runtime/restore.py""]","The restore function must not expose the running state before threads are created. The current implementation sets state.phase to 'running' before ensuring threads exist, which violates the requirement. The fix is to set phase to 'running' only after all threads have been ensured. This change ensure",1610,0,3760.149,754,389,1143,124.792,1829.537,212.62210056424112,
2026-03-26T03:38:06.713665+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,2,200,True,False,False,0,[],,1488,0,3429.153,754,370,1124,79.738,1742.003,212.3991749727182,"JSONDecodeError(""Expecting ',' delimiter: line 8 column 1 (char 886)"")"
2026-03-26T03:38:11.779314+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,1,200,True,True,True,2,"[""runtime/server.py"", ""tests/test_metrics_contract.py""]",Move metrics from world snapshot to session state payload. The test expects metrics to be stored in session_state['payload']['runtime']['metrics'] but currently emit_state stores them in world_snapshot. Modify emit_state to include metrics in the session state payload so client can read them via red,2146,0,5005.45,899,541,1440,139.863,2550.585,212.10820262802454,
2026-03-26T03:38:20.810046+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,2,200,True,True,True,2,"[""runtime/server.py"", ""tests/test_metrics_contract.py""]","Move metrics from world snapshot to session state payload so tests pass. The server now places the metrics snapshot inside the runtime part of the session state. The client state reducer already reads runtime.metrics, so no client changes are needed.",2123,0,8956.961,899,534,1433,99.329,2553.875,209.09402378738193,
2026-03-26T03:38:24.547975+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,1,200,True,True,True,1,"[""scripts/triage.sh""]","Replace the placeholder triage.sh with a working script that extracts stable error signatures from the log file. The new script parses each line, counts occurrences of each signature, and outputs signatures with their counts, ensuring the test expectations are satisfied.",1822,0,3679.836,672,490,1162,112.836,2303.527,212.7172809348447,
2026-03-26T03:38:31.811856+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,2,200,True,True,True,2,"[""scripts/triage.sh"", ""tests/test_triage.py""]","Add a simple signature extraction to triage.sh. The script now reads each log line, extracts the message after the log level, groups identical messages, and outputs each unique signature with a count. This satisfies the test expectations: OrderService and PaymentGateway errors are counted as 2 signa",4103,0,7200.464,672,1070,1742,81.772,5032.356,212.6240671367447,
2026-03-26T03:38:36.845496+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,1,200,True,False,False,0,[],,2888,0,5031.126,988,796,1784,139.574,3752.602,212.11948402734956,JSONDecodeError('Expecting property name enclosed in double quotes: line 7 column 5 (char 1149)')
2026-03-26T03:38:41.752780+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,2,200,True,False,False,0,[],,2736,0,4881.636,988,773,1761,75.759,3642.292,212.22900305631728,JSONDecodeError('Expecting property name enclosed in double quotes: line 7 column 5 (char 1008)')
