timestamp_utc,task_id,family,description,repeat_index,http_status,success,max_tokens,prompt_chars,context_file_count,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,network_retry_count,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-03-26T02:15:31.260560+00:00,java_null_nested_config,java,Optional nested config causes startup-time null handling bug.,1,200,True,900,2152,4,425,900,1325,length,5414.617,0,68.908,4267.065,210.91780884518985,0,4059,,"We need to find highest-risk correctness bug: likely NullPointerException when config.database is null or config.getDatabase().getJdbcUrl() is null. In DataSourceFactory.buildJdbcUrl, it calls config.getDatabase().getJdbcUrl().trim(). If config.database is null, NullPointerException. Also if getJdbcUrl returns null, calling trim will NPE. The scenario: Optional nested config causes startup-time nu",
2026-03-26T02:15:37.110463+00:00,java_transaction_partial_commit,java,Order update spans multiple repositories without a transaction boundary.,1,200,True,1000,2332,4,428,1000,1428,length,5848.945,0,57.62,4703.503,212.60749700808103,0,5241,,"We need to identify highest-risk data consistency bug in order update spanning multiple repositories without transaction. OrderService.confirm does three calls: inventoryRepository.reserve, auditRepository.record, orderRepository.markConfirmed. If any later step fails, earlier steps may have side effects (reserve inventory, audit recorded) but later step fails, leading to inconsistent state: inven",
2026-03-26T02:15:42.474617+00:00,java_path_body_id_mismatch,java,Controller trusts request body identifier over path identifier.,1,200,True,900,2399,3,448,900,1348,length,5362.842,0,58.367,4227.409,212.89636276026286,0,4362,,"We need to find dangerous API contract bug: controller trusts request body identifier over path identifier. The method signature: update(long pathAccountId, UpdateAccountRequest request) but inside it calls request.getAccountId() ignoring pathAccountId. So if request body contains accountId that mismatches path, the controller will use request's accountId, ignoring path. This can cause privilege e",
2026-03-26T02:15:48.290821+00:00,java_audit_success_on_failure,java,Audit log currently records a successful change even when the write fails.,1,200,True,1000,1956,3,359,1000,1359,length,5814.778,0,56.754,4707.894,212.4092003770688,0,4777,,"We need to identify audit consistency bug: audit records success even when write fails. In ProfileService.changeStatus, they have try { ... } finally { auditRepository.recordSuccess(...); }. The finally runs regardless of exception. If profileRepository.require or save throws exception, the audit still records success, causing inconsistency. Should record success only if operation succeeded. So ne",
2026-03-26T02:15:53.697865+00:00,java_pagination_boundary,java,Pagination code has an index boundary bug and unstable empty-page behavior.,1,200,True,900,1933,3,384,900,1284,length,5404.673,0,57.541,4232.154,212.65766793930464,0,3763,,"We need to find bug: pagination boundary bug and unstable empty-page behavior. In UserQueryService list(int page, int size): offset = page * size; returns findRange(offset, offset+size). Problem: page is zero-indexed? Usually page starts at 0. If page is 0, offset=0 fine. If page=1, offset=size, okay. But if page is beyond last page, offset may be >= total size, then findRange will be called with ",
2026-03-26T02:15:59.756525+00:00,java_optimistic_lock_missing,java,Version field exists but update flow does not actually enforce optimistic locking.,1,200,True,1050,2414,4,481,1050,1531,length,6055.891,0,63.361,4938.752,212.60431785195934,0,5046,,"We need to find concurrency bug: version field exists but update flow does not enforce optimistic locking. In OrderService.approve, they read order, then call updateStatus with version+1 but repository's updateStatus likely does not check that version matches. The bug: updateStatus should include WHERE clause that checks version = oldVersion, else throw exception if stale. Currently repository imp",
2026-03-26T02:16:05.271401+00:00,java_enum_db_compat,java,Database enum values no longer match Java enum names after a migration.,1,200,True,1000,1635,4,330,932,1262,stop,5514.026,0,52.085,4377.426,212.9105095094697,0,4209,,"We need to find compatibility bug: migration script lowercases the state column values. PaymentState enum names are uppercase (PENDING, PROCESSING, COMPLETED). After migration, existing rows have lowercased values (e.g., ""pending"", ""processing"", ""completed"") which will cause PaymentMapper.toDomain to throw IllegalArgumentException when trying to map records with lowercased state.\n\nWe need smallest",
2026-03-26T02:16:10.902714+00:00,java_soft_delete_unique_email,java,Soft-deleted rows still participate in uniqueness checks and block re-registration.,1,200,True,950,2018,4,391,950,1341,length,5630.285,0,56.131,4466.063,212.7153154803235,0,4495,,"We need to identify highest-risk bug: Soft-deleted accounts still participate in uniqueness checks, blocking re-registration. The bug is in UserService.register: it checks existsByEmail which likely queries all rows including soft-deleted. The repository implementation stub returns false, but actual implementation likely queries users table without considering deleted_at. The migration adds delete",
2026-03-26T02:16:22.065389+00:00,ts_boot_restore_consistency,ts,Boot-time restore can expose an inconsistent running state before threads are restored.,1,200,True,1250,86231,6,19949,1250,21199,length,11160.107,0,2588.434,6450.877,193.77210261488474,0,5726,,"We need to identify highest-risk restore consistency bug: boot-time restore can expose an inconsistent running state before threads are restored. Looking at restoreSession in GameRuntimeServer. It loads saved state, sets simulation, threadIds, etc. It does not re-establish threads (i.e., thread IDs) for existing session before proceeding. In startSession, they start threads for each agent and buil",
2026-03-26T02:16:33.681651+00:00,ts_runtime_metrics_protocol,ts,Runtime metrics exist server-side but are not exposed to the client in a protocol-first way.,1,200,True,1250,98189,7,22650,1250,23900,length,11612.151,0,2990.282,6529.663,191.4340755411114,0,5822,,"We need to propose smallest protocol-first change set to expose runtime metrics to client HUD. Currently metrics are tracked in MetricsTracker but not sent to client. Need to expose via a new server message type, e.g., ""runtime.metrics"" with payload RuntimeMetrics. Also need to send metrics in session.state? Or separate message. The client HUD wants to display metrics. The simplest: add a new Serv",
