timestamp_utc,case_id,family,description,http_status,success,max_tokens,prompt_chars,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-03-07T17:05:19.417890+00:00,smoke_math,smoke,Simple arithmetic sanity check.,200,True,256,12,17,163,180,stop,5139.937,56.201,3804.469,42.84434963197229,507,14,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate:** 2 + 2 = 4.\n\n4.  **Formulate the Answer:** ",2 + 2 = **4**.,
2026-03-07T17:05:38.588094+00:00,smoke_python_lru,smoke,Small coding task for Python.,200,True,768,95,27,768,795,length,19169.766,50.277,17912.561,42.8749412214144,1164,1986,"The user wants a compact but production-usable LRU (Least Recently Used) cache implementation in Python with a short explanation. This should be:\n\n1. Compact - not overly verbose\n2. Production-usable - should handle edge cases, be thread-sa","# Python LRU Cache Implementation\n\n## Manual Implementation (Educational & Flexible)\n\n```python\nfrom collections import OrderedDict\n\nclass LRUCache:\n    def __init__(self, capacity: int):\n        if capacity <= 0:\n            raise ValueErr",
2026-03-07T17:05:56.540809+00:00,smoke_java_bugfix,smoke,Small coding task for Java backend debugging.,200,True,1024,166,37,663,700,stop,17952.293,53.39,15454.574,42.89992076132283,1115,1871,This is a common Java development question about NullPointerException (NPE) in the context of optional nested configuration. Let me think through the typical causes and solutions.\n\n## Likely Root Cause\n\nThe most common cause is:\n1. A nested,## Likely Root Cause\n\nA `NullPointerException` after loading an optional nested configuration typically occurs when code accesses a nested config object that may be `null` without first checking for its existence. This often happens when:\n\n,
2026-03-07T17:05:58.445461+00:00,boundary_max_tokens_8,boundary,Reasoning mode minimum token budget check.,200,True,8,12,17,8,25,length,1904.488,49.393,177.15,45.159469376234824,25,0,Thinking Process:\n\n1.  **,,
2026-03-07T17:06:01.519356+00:00,boundary_max_tokens_64,boundary,Reasoning mode small token budget check.,200,True,64,12,17,64,81,length,3073.76,51.158,1475.778,43.36695627662155,223,0,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple mathematical question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition operation $2 + 2$.\n\n3.  **Calculate the Result:** $2 + ",,
2026-03-07T17:06:06.123749+00:00,boundary_max_tokens_128,boundary,Reasoning mode moderate token budget check.,200,True,128,12,17,128,145,length,4604.238,49.403,2964.081,43.183705168650924,463,0,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate:** 2 + 2 = 4.\n\n4.  **Formulate the Output:** ",,
2026-03-07T17:06:10.913935+00:00,boundary_max_tokens_256,boundary,Reasoning mode safe token budget check.,200,True,256,12,17,142,159,stop,4789.98,49.291,3291.21,43.14522622379004,444,19,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate:** 2 + 2 = 4.\n\n4.  **Formulate the Output:** ",2 + 2 equals **4**.,
2026-03-07T17:06:33.449754+00:00,context_small,context,"Small code context, intended to stay in low-thousands prompt tokens.",200,True,768,25888,5230,768,5998,length,22535.141,2111.565,18232.54,42.12249088717205,3372,0,The user wants me to review the provided Java code snippets and identify the top 3 correctness risks.\nThen I need to propose the smallest patch plan to fix them.\n\n**Context Analysis:**\nThe provided context bundle contains multiple identical,,
2026-03-07T17:07:18.625185+00:00,context_medium,context,"Medium code context, intended to simulate multi-file review.",200,True,1024,97783,19728,1024,20752,length,45174.099,8331.232,25425.899,40.273895526761905,4518,0,The user wants me to review a Java code snippet and identify a transaction and data consistency bug.\n\n**1. Analyze the Code:**\n\n*   **`UserService.java`**:\n    *   `updateUserProfile` method.\n    *   Retrieves a `User` via `userRepository.f,,
2026-03-07T17:08:50.740530+00:00,context_large,context,"Large code context, intended to stress long-context single-user usage.",200,True,1024,321970,64929,1024,65953,length,92111.08,32825.583,28837.852,35.50888602937556,4329,0,"The user wants me to identify the highest-risk bug in the provided code that could cause data corruption in a production workflow.\n\n1.  **Analyze the Code:**\n    *   **`UserService.java`**:\n        *   `updateUserProfile(Long userId, Update",,
2026-03-07T17:09:21.684945+00:00,cache_round_1,cache,"Shared-prefix coding request, first round.",200,True,768,97747,19721,768,20489,length,30943.024,8359.997,19081.232,40.248973441547164,3432,0,"The user wants me to review a coding task and find the most likely bug in the update flow based on the provided context.\n\n**Context Analysis:**\nThe provided context consists of multiple identical ""Module Snippet"" blocks. All of them contain",,
2026-03-07T17:09:53.782955+00:00,cache_round_2,cache,"Shared-prefix coding request, second round with same prefix.",200,True,768,97748,19719,768,20487,length,32094.208,315.372,19078.869,40.25395845005278,3574,0,"The user wants me to identify a validation bug in the provided code snippets and suggest a minimal patch.\n\n**Context Analysis:**\nThe provided context consists of multiple identical snippets of Java code for a `UserService`, `UserRepository`",,
2026-03-07T17:10:19.796801+00:00,cache_round_3,cache,"Shared-prefix coding request, third round with same prefix.",200,True,768,97747,19720,768,20488,length,26012.876,321.432,19079.165,40.25333393783218,3227,0,"The user wants me to identify a bug in the provided code snippets related to audit logging and suggest a fix.\n\n1.  **Analyze the Context:**\n    *   The context consists of multiple identical ""Module Snippet"" blocks. They all contain the sam",,
2026-03-07T17:10:42.536279+00:00,soak_round_1,soak,Start of sequential single-user soak test.,200,True,768,97718,19715,768,20483,length,22737.572,269.959,19064.137,40.28506509368874,3369,0,"The user wants me to identify a backend bug in the provided code context and provide a minimal patch outline.\n\n**1. Analyze the Context:**\nThe context consists of multiple repeated snippets of the same Java files: `UserService.java`, `UserR",,
2026-03-07T17:11:13.330032+00:00,soak_round_2,soak,Sequential single-user soak test round 2.,200,True,768,97723,19716,768,20484,length,25789.044,317.105,19071.466,40.26958389040465,3467,0,"The user wants me to identify an API contract bug in the provided code snippets and provide a minimal patch outline.\n\n1.  **Analyze the Code:**\n    *   I see `UserService.java`, `UserRepository.java`, and `UserController.java`.\n    *   The ",,
