timestamp_utc,case_id,family,description,http_status,success,max_tokens,prompt_chars,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-03-07T14:40:05.808480+00:00,smoke_math,smoke,Simple arithmetic sanity check.,200,True,256,12,17,129,146,stop,3803.87,55.881,3003.0,42.95704295704296,0,403,,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Determine the Answer:** The sum of 2 and 2 is 4.\n\n3.  **Formulate the Output:** Keep it direct and clear. ""4"" or ""2+2 equ",
2026-03-07T14:40:24.472616+00:00,smoke_python_lru,smoke,Small coding task for Python.,200,True,768,95,27,768,795,length,18663.65,51.452,17901.761,42.90080735632657,0,3169,,The user wants a compact but production-usable Python LRU (Least Recently Used) cache implementation with an explanation. I should create something that:\n\n1. Is compact but still production-quality\n2. Includes proper error handling\n3. Has g,
2026-03-07T14:40:49.562632+00:00,smoke_java_bugfix,smoke,Small coding task for Java backend debugging.,200,True,1024,166,37,1024,1061,length,25089.614,52.422,23903.517,42.838884336560184,0,4011,,Here's a thinking process that leads to the suggested answer:\n\n1.  **Analyze the Request:**\n    *   **Context:** A Java service.\n    *   **Symptom:** Throws `NullPointerException` (NPE).\n    *   **Trigger:** After loading an *optional neste,
2026-03-07T14:40:50.471067+00:00,boundary_max_tokens_8,boundary,Reasoning mode minimum token budget check.,200,True,8,12,17,8,25,length,908.041,49.61,177.63,45.03743736981366,0,25,,Thinking Process:\n\n1.  **,
2026-03-07T14:40:53.469124+00:00,boundary_max_tokens_64,boundary,Reasoning mode small token budget check.,200,True,64,12,17,64,81,length,2997.675,53.238,1477.312,43.32192522635706,0,213,,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Identify the Core Task:** Perform the addition of 2 and 2.\n\n3.  **Calculate the Result:** 2 + ",
2026-03-07T14:40:57.174233+00:00,boundary_max_tokens_128,boundary,Reasoning mode moderate token budget check.,200,True,128,12,17,128,145,length,3704.582,49.277,2966.115,43.15409213735813,0,397,,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Determine the Answer:** The sum of 2 and 2 is 4.\n\n3.  **Formulate the Output:** Keep it direct and clear. ""4"" or ""2 + 2 =",
2026-03-07T14:41:01.168524+00:00,boundary_max_tokens_256,boundary,Reasoning mode safe token budget check.,200,True,256,12,17,141,158,stop,3993.841,49.257,3268.3,43.141694458893,0,446,,"Thinking Process:\n\n1.  **Analyze the Request:** The user is asking a simple arithmetic question: ""What is 2+2?""\n\n2.  **Determine the Answer:** The sum of 2 and 2 is 4.\n\n3.  **Formulate the Output:** Keep it direct and clear. ""4"" or ""2+2 equ",
2026-03-07T14:41:22.813845+00:00,context_small,context,"Small code context, intended to stay in low-thousands prompt tokens.",200,True,768,25888,5230,768,5998,length,21644.568,2106.48,18238.82,42.10798724917511,0,3245,,"The user wants me to review the provided Java code snippets and identify the top 3 correctness risks. Then, I need to propose the smallest patch plan to address these risks.\n\n**Analysis of the Code:**\n\nThe context bundle contains multiple i",
2026-03-07T14:42:03.971807+00:00,context_medium,context,"Medium code context, intended to simulate multi-file review.",200,True,1024,97783,19728,1024,20752,length,41156.638,8358.763,25425.498,40.27453070929034,0,4508,,"The user wants me to review a coding task based on the provided context bundle.\nThe context bundle contains multiple identical snippets of Java code for `UserService.java`, `UserRepository.java`, and `UserController.java`.\nI need to identif",
2026-03-07T14:43:44.316621+00:00,context_large,context,"Large code context, intended to stress long-context single-user usage.",200,True,1024,321970,64929,1024,65953,length,100341.619,32900.041,28875.994,35.461982711313766,0,4977,,"The user is asking me to review a coding task and identify the highest-risk bug that could cause data corruption in a production workflow. Looking at the provided context, I can see multiple copies of the same three Java files:\n\n1. `UserSer",
