timestamp_utc,task_id,description,repeat_index,http_status,request_success,json_parse_success,validation_success,files_written_count,files_written,summary_preview,content_length,reasoning_content_length,elapsed_ms,prompt_tokens,completion_tokens,total_tokens,prompt_ms,predicted_ms,predicted_per_second,error_message
2026-04-23T03:02:34.948885+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,1,200,True,True,True,2,"[""reconcile/matcher.py"", ""reconcile/report.py""]","Implement the matching logic in matcher.py to detect missing_left, missing_right, amount_mismatch, and duplicate_left discrepancies, and implement render_summary in report.py to output counts of each discrepancy kind.",4221,0,24886.261,1079,979,2058,636.442,22900.179,42.75075753774676,
2026-04-23T03:02:58.921620+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,2,200,True,True,True,2,"[""reconcile/matcher.py"", ""reconcile/report.py""]","Implement find_discrepancies to detect missing_left, missing_right, amount_mismatch, and duplicate_left. Implement render_summary to output counts for each discrepancy kind.",3878,0,23904.559,1079,956,2035,234.82,22330.739,42.81094324733274,
2026-04-23T03:03:05.124848+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,1,200,True,True,True,1,"[""runtime/restore.py""]",Fix the restore flow to ensure running state is not exposed before threads exist by moving the phase update to after thread creation.,760,0,6145.209,748,188,936,345.626,4380.8,42.914536157779395,
2026-04-23T03:03:11.153330+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,2,200,True,True,True,1,"[""runtime/restore.py""]","Fix the restore flow so that the 'running' phase is only set after threads are created, preventing premature exposure of running state.",762,0,5977.531,748,190,938,234.625,4428.612,42.90283276114502,
2026-04-23T03:03:21.750495+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,1,200,True,True,True,2,"[""runtime/server.py"", ""client/state.py""]","Move metrics from world_snapshot payload into session_state runtime payload so tests pass. Update runtime/server.py to inject metrics into session_state runtime, and update client/state.py to preserve the metrics field when reducing session.state messages.",1335,0,10532.932,917,344,1261,427.711,8029.363,42.84275103766015,
2026-04-23T03:03:31.748968+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,2,200,True,True,True,2,"[""runtime/server.py"", ""client/state.py""]","Move metrics from world_snapshot payload into session_state runtime payload, and update the client reducer to extract metrics from session state.",1354,0,9936.742,917,360,1277,235.601,8402.635,42.8437031954857,
2026-04-23T03:03:42.594997+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,1,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to group ERROR log lines by signature, count occurrences, and output 'count signature' lines, excluding non-ERROR lines like INFO/WARN.",726,0,10790.35,681,244,925,364.326,5691.059,42.87426997330374,
2026-04-23T03:03:49.460135+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,2,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to group ERROR log lines by signature, count occurrences, and output 'count signature' format, excluding non-ERROR lines.",663,0,6809.095,681,215,896,234.769,5012.07,42.89644797458934,
2026-04-23T03:04:05.813617+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,1,200,True,True,True,3,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime/src/runtime/sessionState.ts"", ""apps/game-client/src/state.ts""]",Move runtime metrics from world.snapshot.payload.metrics into session.state.payload.runtime.metrics to satisfy the test contract.,2178,0,16135.452,1078,611,1689,489.866,14276.809,42.796678165267885,
2026-04-23T03:04:22.986399+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,2,200,True,True,True,3,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime/src/runtime/sessionState.ts"", ""apps/game-client/src/state.ts""]","Move metrics into session.state.runtime payload and update client reducer to read metrics from there, removing the incorrect world.snapshot.metrics path.",2202,0,17003.893,1078,616,1694,248.824,14392.982,42.79863616865497,
2026-04-23T03:04:33.893268+00:00,agentic_ts_restore_bootstrap_patch,Fix a multi-file TypeScript restore/bootstrap flow so running state is not exposed before thread restoration completes.,1,200,True,True,False,1,"[""apps/game-runtime/src/runtime/restore.ts""]","Fix restoreRuntime to set phase to 'restoring' initially and only switch to 'running' after all threads are restored, preventing premature exposure of running state.",850,0,10764.998,777,239,1016,403.862,5564.316,42.952269425388494,
2026-04-23T03:04:41.187720+00:00,agentic_ts_restore_bootstrap_patch,Fix a multi-file TypeScript restore/bootstrap flow so running state is not exposed before thread restoration completes.,2,200,True,True,False,1,"[""apps/game-runtime/src/runtime/restore.ts""]","Fix restoreRuntime to set phase to 'restoring' initially and only switch to 'running' after all threads are restored, preventing exposure of running state before thread restoration completes.",874,0,7118.295,777,240,1017,235.645,5587.434,42.95352750475442,
2026-04-23T03:04:50.127998+00:00,agentic_bash_log_triage_gz,"Produce a Bash triage script that handles .log and .log.gz together, normalizes volatile ids, ignores health checks, and sorts counts descending.",1,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to process .log and .log.gz files, normalize volatile IDs, ignore health checks, and output sorted counts.",889,0,8855.255,771,304,1075,363.766,7089.869,42.87808420719763,
2026-04-23T03:05:02.637366+00:00,agentic_bash_log_triage_gz,"Produce a Bash triage script that handles .log and .log.gz together, normalizes volatile ids, ignores health checks, and sorts counts descending.",2,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to process .log and .log.gz files, normalize volatile IDs (orderId, providerTxnId, traceId, requestId), ignore healthcheck lines, aggregate error signatures, and output counts sorted descending.",1373,0,12389.763,771,466,1237,235.725,10871.866,42.86292711849097,
2026-04-23T03:05:11.708763+00:00,agentic_python_replay_analyzer_patch,"Produce a working Python replay analyzer that streams JSONL, counts malformed lines, and aggregates per-session turns and invalid outputs.",1,200,True,True,True,1,"[""scripts/replay_analyzer.py""]","Implement the analyze function to stream JSONL, count malformed lines, and aggregate per-session turns and invalid_output counts.",1328,0,9000.931,487,320,807,202.454,7471.143,42.831465011444706,
