timestamp_utc,task_id,family,description,repeat_index,http_status,success,max_tokens,prompt_chars,context_file_count,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,network_retry_count,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-03-26T02:07:23.416609+00:00,java_null_nested_config,java,Optional nested config causes startup-time null handling bug.,1,200,True,900,2152,4,425,900,1325,length,5403.457,0,71.026,4269.866,210.77944834802778,0,3676,,"**Highest‑risk bug**\n\n*Location*: `DataSourceFactory.buildJdbcUrl` (called from `StartupListener.onStartup`)  \n\n*Root cause*:  \n`AppConfig` makes the `database` field optional. If a caller creates an `AppConfig` and does **not** set a `DatabaseConfig` instance, `config.getDatabase()` returns `null`. The current implementation then calls `null.getJdbcUrl()`, which throws a `NullPointerException` du",
2026-03-26T02:07:29.141962+00:00,java_transaction_partial_commit,java,Order update spans multiple repositories without a transaction boundary.,1,200,True,1000,2332,4,428,986,1414,stop,5724.439,0,57.367,4630.77,212.92355267050618,0,4663,,"**Highest‑risk consistency bug**\n\n`OrderService.confirm` calls three different repositories **without any transaction boundary**.  \nIf `inventoryRepository.reserve` succeeds but `orderRepository.markConfirmed` (or `auditRepository.record`) throws an exception, the order will be left in a *reserved* state that never gets confirmed. Down‑stream consumers that read the order will see a reservation th",
2026-03-26T02:07:33.777832+00:00,java_path_body_id_mismatch,java,Controller trusts request body identifier over path identifier.,1,200,True,900,2399,3,448,735,1183,stop,4628.934,0,58.447,3450.462,213.0149527802364,0,3306,,"**Bug** – The controller trusts the `accountId` that comes from the request body (`request.getAccountId()`) instead of the `accountId` that is part of the URL path (`pathAccountId`).  \nIf a client sends a mismatching pair (e.g. `pathAccountId=5` but `request.accountId=99`), the service will update the *wrong* account. Because the endpoint is public and used by many clients, this can lead to privil",
2026-03-26T02:07:37.055028+00:00,java_audit_success_on_failure,java,Audit log currently records a successful change even when the write fails.,1,200,True,1000,1956,3,359,451,810,stop,3276.389,0,56.675,2115.411,213.19734084771233,0,1979,,"**Root cause**\n\n`ProfileService.changeStatus` records the audit entry in a `finally` block.  \nIf `profileRepository.save(profile)` throws (e.g. a DB constraint violation, optimistic‑lock failure, etc.) the method still executes `auditRepository.recordSuccess(...)`.  \nThus the audit log contains a *success* entry even though the write to the profile failed – the exact inconsistency described in the",
2026-03-26T02:07:42.384759+00:00,java_pagination_boundary,java,Pagination code has an index boundary bug and unstable empty-page behavior.,1,200,True,900,1933,3,384,900,1284,length,5327.769,0,57.496,4233.39,212.59557942925173,0,3638,,"**Bug description**\n\n`UserQueryService.list(int page, int size)` computes the slice as  \n\n```java\nint offset = page * size;\nreturn userRepository.findRange(offset, offset + size);\n```\n\n* `page` is **0‑based** (the caller passes 0 for the first page).  \n* `UserRepository.findRange(int startInclusive, int endInclusive)` is expected to return the elements whose indexes are **≥ start** and **≤ end**. ",
2026-03-26T02:07:48.427565+00:00,java_optimistic_lock_missing,java,Version field exists but update flow does not actually enforce optimistic locking.,1,200,True,1050,2414,4,481,1050,1531,length,6041.062,0,63.432,4941.727,212.4763265959451,0,4582,,"**Bug identification**\n\n`OrderService.approve()` reads the current `Order` (including its `version`) and then calls `orderRepository.updateStatus(..., order.getVersion() + 1)`.  \nThe repository’s `updateStatus` method is supposed to perform an *optimistic‑lock* update – i.e. it must update **both** `status` **and** `version` in a single `UPDATE … WHERE id = ? AND version = ?` statement.  \n\nThe cur",
2026-03-26T02:07:52.190751+00:00,java_enum_db_compat,java,Database enum values no longer match Java enum names after a migration.,1,200,True,1000,1635,4,330,564,894,stop,3761.994,0,52.053,2647.219,213.05377454604246,0,2448,,"**Root cause**\n\nThe migration `V42__payment_state_lowercase.sql` lower‑cases every `state` column:\n\n```sql\nupdate payment_record set state = lower(state);\n```\n\nAfter the migration the column contains values like `pending`, `processing`, `completed`.  \n`PaymentMapper.toDomain()` calls `PaymentState.valueOf(record.getState())`, which expects the **exact enum constant names** (`PENDING`, `PROCESSING`",
2026-03-26T02:07:58.220781+00:00,java_soft_delete_unique_email,java,Soft-deleted rows still participate in uniqueness checks and block re-registration.,1,200,True,950,2018,4,391,821,1212,stop,6029.072,0,56.125,3852.516,213.1074861207585,0,3492,,"**Highest‑risk bug**\n\n`UserService.register()` checks `userRepository.existsByEmail(email)` **without** taking the `deleted_at` flag into account.  \n`JdbcUserRepository.existsByEmail()` is a stub that always returns `false`, so the real SQL that will be generated (when the stub is replaced by a proper implementation) will be something like:\n\n```sql\nSELECT 1 FROM users WHERE email = ? AND deleted_a",
2026-03-26T02:08:09.242094+00:00,ts_boot_restore_consistency,ts,Boot-time restore can expose an inconsistent running state before threads are restored.,1,200,True,1250,86231,6,19949,1250,21199,length,11017.895,0,2583.088,6452.236,193.73128943206666,0,5141,,**Highest‑risk restore‑consistency bug**\n\n**File:** `apps/game-runtime/src/runtime/GameRuntimeServer.ts`  \n**Method:** `restoreSession()`\n\nThe method restores a saved session by:\n\n1. Re‑creating the `Simulation` from the persisted `SimulationState`.  \n2. Re‑creating the `threadIds` map (`gameplayByAgentId` and `builder`) **only** from the saved `threadIds` that were stored in the snapshot.  \n3. **,
2026-03-26T02:08:20.830696+00:00,ts_runtime_metrics_protocol,ts,Runtime metrics exist server-side but are not exposed to the client in a protocol-first way.,1,200,True,1250,98189,7,22650,1250,23900,length,11578.843,0,2988.74,6534.004,191.30689237410934,0,5484,,"**Proposed change set (protocol‑first, minimal, safe)**  \n\n| File | Change | Why |\n|------|--------|-----|\n| `apps/game-runtime/src/runtime/metrics.ts` | Add a public `toJson(): string` that serialises the internal `RuntimeMetrics` to a JSON string. | Gives the server a cheap way to expose the metrics without touching the rest of the runtime code. |\n| `apps/game-runtime/src/runtime/types.ts` | Add",
