timestamp_utc,task_id,description,repeat_index,http_status,request_success,json_parse_success,validation_success,files_written_count,files_written,summary_preview,content_length,reasoning_content_length,elapsed_ms,prompt_tokens,completion_tokens,total_tokens,prompt_ms,predicted_ms,predicted_per_second,error_message
2026-04-07T08:12:36.859436+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,1,200,True,True,True,2,"[""reconcile/matcher.py"", ""reconcile/report.py""]","Implement the matching logic in matcher.py to detect missing_left, missing_right, amount_mismatch, and duplicate_left discrepancies, and implement render_summary in report.py to output counts of each discrepancy kind.",4429,0,25370.354,1079,1059,2138,541.637,24793.58,42.71266997343667,
2026-04-07T08:12:58.616128+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,2,200,True,True,True,2,"[""reconcile/matcher.py"", ""reconcile/report.py""]","Implement find_discrepancies to detect missing_left, missing_right, amount_mismatch, and duplicate_left. Implement render_summary to output counts for each discrepancy kind.",3883,0,21695.143,1079,916,1995,231.033,21417.522,42.76871992941106,
2026-04-07T08:13:03.562770+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,1,200,True,True,True,1,"[""runtime/restore.py""]",Fix the restore flow to ensure running state is not exposed before threads exist by moving the phase update to after thread creation.,760,0,4880.66,748,188,936,348.439,4382.622,42.89669517471504,
2026-04-07T08:13:08.451935+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,2,200,True,True,True,1,"[""runtime/restore.py""]","Fix the restore flow to ensure state.phase is set to 'running' only after all threads have been created, preventing exposure of running state before threads exist.",790,0,4823.977,748,195,943,229.68,4546.57,42.889474922853935,
2026-04-07T08:13:13.342564+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,1,200,True,True,True,1,"[""runtime/server.py""]",Move metrics from world_snapshot payload to session_state runtime payload to satisfy the contract tests.,702,0,4823.171,917,182,1099,413.988,4242.19,42.90236882365005,
2026-04-07T08:13:21.151764+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,2,200,True,True,True,2,"[""runtime/server.py"", ""client/state.py""]","Move metrics from world_snapshot payload into session_state runtime payload, and ensure client reduces them correctly.",1197,0,7744.448,917,320,1237,233.012,7464.961,42.8669352726692,
2026-04-07T08:13:28.040681+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,1,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to group ERROR log lines by signature, count occurrences, and output 'count signature' format, excluding non-ERROR lines like INFO/WARN.",828,0,6824.887,681,272,953,332.077,6343.678,42.87733393781967,
2026-04-07T08:13:35.835240+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,2,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to group ERROR log lines by signature, count occurrences, and output 'count signature' lines, excluding non-ERROR lines like INFO/WARN.",1029,0,7734.635,681,319,1000,230.794,7450.863,42.81383243793369,
2026-04-07T08:13:50.062596+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,1,200,True,True,False,3,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime/src/runtime/sessionState.ts"", ""apps/game-client/src/state.ts""]","Move metrics into session.state.runtime payload and update client reducer to read metrics from there, aligning with the test expectations.",2051,0,14167.845,1078,578,1656,495.034,13523.306,42.74102797052733,
2026-04-07T08:14:05.046130+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,2,200,True,True,False,3,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime/src/runtime/sessionState.ts"", ""apps/game-client/src/state.ts""]","Move metrics into session.state.payload.runtime and remove them from world.snapshot. Update protocol types, runtime builder, and client reducer accordingly.",2241,0,14949.759,1078,626,1704,233.608,14637.252,42.767590528604686,
2026-04-07T08:14:11.311215+00:00,agentic_ts_restore_bootstrap_patch,Fix a multi-file TypeScript restore/bootstrap flow so running state is not exposed before thread restoration completes.,1,200,True,True,False,1,"[""apps/game-runtime/src/runtime/restore.ts""]","Fix the restore flow by setting phase to 'restoring' initially, then only setting to 'running' after all threads are restored, preventing exposure of running state before thread restoration completes.",885,0,6234.099,777,244,1021,367.435,5680.779,42.95185572260424,
2026-04-07T08:14:17.391009+00:00,agentic_ts_restore_bootstrap_patch,Fix a multi-file TypeScript restore/bootstrap flow so running state is not exposed before thread restoration completes.,2,200,True,True,False,1,"[""apps/game-runtime/src/runtime/restore.ts""]","Fix the restore flow by setting the phase to 'restoring' initially, then only switching to 'running' after all threads are restored. This prevents exposing a 'running' state before thread restoration completes.",895,0,6048.626,777,248,1025,230.34,5776.316,42.93393920969697,
2026-04-07T08:14:25.724603+00:00,agentic_bash_log_triage_gz,"Produce a Bash triage script that handles .log and .log.gz together, normalizes volatile ids, ignores health checks, and sorts counts descending.",1,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to process .log and .log.gz files, normalize volatile IDs, ignore healthcheck lines, aggregate error signatures, and output counts sorted descending.",948,0,8269.084,771,331,1102,366.827,7723.305,42.857300080729686,
2026-04-07T08:14:33.962978+00:00,agentic_bash_log_triage_gz,"Produce a Bash triage script that handles .log and .log.gz together, normalizes volatile ids, ignores health checks, and sorts counts descending.",2,200,True,True,True,1,"[""scripts/triage.sh""]","Implement triage.sh to process .log and .log.gz files, normalize volatile IDs, ignore healthchecks, aggregate error signatures, and output counts sorted descending.",972,0,8176.571,771,337,1108,235.206,7865.027,42.84791393595979,
2026-04-07T08:14:41.687209+00:00,agentic_python_replay_analyzer_patch,"Produce a working Python replay analyzer that streams JSONL, counts malformed lines, and aggregates per-session turns and invalid outputs.",1,200,True,True,True,1,"[""scripts/replay_analyzer.py""]","Implement the analyze function to stream JSONL, count malformed lines, and aggregate per-session turns and invalid_output counts.",1295,0,7661.911,487,313,800,203.94,7309.652,42.82009594984823,
2026-04-07T08:14:49.504814+00:00,agentic_python_replay_analyzer_patch,"Produce a working Python replay analyzer that streams JSONL, counts malformed lines, and aggregates per-session turns and invalid outputs.",2,200,True,True,True,1,"[""scripts/replay_analyzer.py""]","Implement the analyze function to stream JSONL, count malformed lines, and aggregate per-session turns and invalid_output counts.",1319,0,7753.703,487,320,807,204.042,7475.364,42.80728002007662,
