timestamp_utc,task_id,family,description,repeat_index,http_status,success,max_tokens,prompt_chars,context_file_count,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-03-08T04:23:39.631518+00:00,java_null_nested_config,java,Optional nested config causes startup-time null handling bug.,1,400,False,900,2155,4,,,,,1220.485,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:40.770151+00:00,java_transaction_partial_commit,java,Order update spans multiple repositories without a transaction boundary.,1,400,False,1000,2335,4,,,,,1137.414,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:41.859737+00:00,java_path_body_id_mismatch,java,Controller trusts request body identifier over path identifier.,1,400,False,900,2402,3,,,,,1088.058,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:42.971667+00:00,java_audit_success_on_failure,java,Audit log currently records a successful change even when the write fails.,1,400,False,1000,1959,3,,,,,1111.238,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:44.052408+00:00,java_pagination_boundary,java,Pagination code has an index boundary bug and unstable empty-page behavior.,1,400,False,900,1936,3,,,,,1079.143,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:45.141892+00:00,java_optimistic_lock_missing,java,Version field exists but update flow does not actually enforce optimistic locking.,1,400,False,1050,2417,4,,,,,1086.28,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:46.304022+00:00,java_enum_db_compat,java,Database enum values no longer match Java enum names after a migration.,1,400,False,1000,1638,4,,,,,1160.666,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:47.403922+00:00,java_soft_delete_unique_email,java,Soft-deleted rows still participate in uniqueness checks and block re-registration.,1,400,False,950,2021,4,,,,,1073.993,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:49.567624+00:00,ts_boot_restore_consistency,ts,Boot-time restore can expose an inconsistent running state before threads are restored.,1,400,False,1250,86234,6,,,,,2161.571,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
2026-03-08T04:23:54.832137+00:00,ts_runtime_metrics_protocol,ts,Runtime metrics exist server-side but are not exposed to the client in a protocol-first way.,1,400,False,1250,98192,7,,,,,5258.441,,,,0,0,,,"Unable to generate parser for this template. Automatic parser generation failed: 
------------
While executing CallExpression at line 145, column 28 in source:
... {%- else %}↵        {{- raise_exception('Unexpected message role.') }}↵    {%- ...
                                           ^
Error: Jinja Exception: Unexpected message role."
