timestamp_utc,task_id,family,description,repeat_index,http_status,success,max_tokens,prompt_chars,context_file_count,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,network_retry_count,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-04-07T07:41:18.737149+00:00,java_null_nested_config,java,Optional nested config causes startup-time null handling bug.,1,200,True,900,2152,4,458,900,1358,length,20355.094,0,224.089,20112.539,44.74820409297901,0,3933,,"The user wants me to find the highest-risk correctness bug in the provided Java code snapshot. Let me analyze the code:\n\n1. **AppConfig.java**: Has a `database` field of type `DatabaseConfig`. The getter returns it, setter sets it. No null checks.\n\n2. **DatabaseConfig.java**: Has a `jdbcUrl` field. Getter/setter provided. No null checks.\n\n3. **DataSourceFactory.java**: The `buildJdbcUrl` method ca",
2026-04-07T07:41:41.368055+00:00,java_transaction_partial_commit,java,Order update spans multiple repositories without a transaction boundary.,1,200,True,1000,2332,4,457,1000,1457,length,22630.118,0,204.613,22346.527,44.74968302680771,0,4772,,"The user wants me to review a Java code snippet and identify a data consistency bug related to partial commits in a transaction.\n\n**Analysis of the code:**\n\n1. **OrderService.confirm()** method performs three operations:\n   - `inventoryRepository.reserve(orderId, quantity)` - reserves inventory\n   - `auditRepository.record(""ORDER_RESERVED"", orderId, Instant.now())` - records audit log\n   - `orderR",
2026-04-07T07:42:01.769940+00:00,java_path_body_id_mismatch,java,Controller trusts request body identifier over path identifier.,1,200,True,900,2399,3,472,900,1372,length,20401.093,0,205.734,20117.107,44.73804309933829,0,4250,,"The user wants me to identify the most dangerous API contract bug in the provided Java code and provide a minimal fix.\n\nLet me analyze the code:\n\n1. **UpdateAccountRequest.java**: Contains `accountId` and `displayName` fields.\n2. **AccountController.java**: Has a method `update(long pathAccountId, UpdateAccountRequest request)` that takes a path parameter `pathAccountId` and a request body `reques",
2026-04-07T07:42:24.367765+00:00,java_audit_success_on_failure,java,Audit log currently records a successful change even when the write fails.,1,200,True,1000,1956,3,383,1000,1383,length,22596.92,0,163.378,22356.422,44.729876721775966,0,4405,,"The user wants me to review a Java code snippet and identify an audit consistency bug. Let me analyze the code:\n\n1. **File: ProfileService.java**\n   - Method `changeStatus` takes a profileId and newStatus\n   - It tries to:\n     - Get the profile from repository\n     - Set the status\n     - Save the profile\n   - In the `finally` block, it records a success audit log\n\n2. **The Bug**\n   - The `finall",
2026-04-07T07:42:44.756213+00:00,java_pagination_boundary,java,Pagination code has an index boundary bug and unstable empty-page behavior.,1,200,True,900,1933,3,407,900,1307,length,20387.332,0,185.426,20116.796,44.73873473688355,0,3097,,"The user wants me to find a concrete correctness bug in the pagination flow and propose the smallest patch.\n\nLet me analyze the code:\n\n1. `UserQueryService.list(int page, int size)`:\n   - Calculates `offset = page * size`\n   - Calls `userRepository.findRange(offset, offset + size)`\n\n2. `UserRepository.findRange(int startInclusive, int endInclusive)`:\n   - Interface says `endInclusive` but...\n\n3. `",
2026-04-07T07:43:08.564145+00:00,java_optimistic_lock_missing,java,Version field exists but update flow does not actually enforce optimistic locking.,1,200,True,1050,2414,4,517,1050,1567,length,23806.169,0,243.632,23485.316,44.70878739719747,0,4486,,"The user wants me to find a concurrency bug in the provided Java code and propose the smallest production-safe fix.\n\nLet me analyze the code:\n\n1. **Order.java**: Has a `version` field for optimistic locking.\n2. **OrderRepository.java**: Interface with `require()` and `updateStatus()` methods.\n3. **OrderService.java**: The `approve()` method reads an order, modifies it, and updates it.\n4. **JdbcOrd",
2026-04-07T07:43:30.663729+00:00,java_enum_db_compat,java,Database enum values no longer match Java enum names after a migration.,1,200,True,1000,1635,4,347,978,1325,stop,22097.753,0,161.034,21857.974,44.74339662038211,0,4293,,"The user wants me to find a compatibility bug introduced by a database migration and suggest the smallest safe patch.\n\nLet me analyze the scenario:\n\n1. **Migration**: `V42__payment_state_lowercase.sql` converts all `state` values in `payment_record` table to lowercase using `lower(state)`.\n\n2. **Java Enum**: `PaymentState` enum has values: `PENDING`, `PROCESSING`, `COMPLETED` (all uppercase).\n\n3. ",
2026-04-07T07:43:52.171881+00:00,java_soft_delete_unique_email,java,Soft-deleted rows still participate in uniqueness checks and block re-registration.,1,200,True,950,2018,4,409,950,1359,length,21506.497,0,185.252,21244.099,44.718300361902855,0,4285,,"The user wants me to find the highest-risk bug in a registration flow where soft-deleted rows still participate in uniqueness checks and block re-registration.\n\nLooking at the code:\n\n1. `UserService.register()` checks if email exists using `userRepository.existsByEmail(email)`, and if it does, throws an exception.\n2. `JdbcUserRepository.existsByEmail()` currently returns `false` (placeholder), but",
2026-04-07T07:44:31.901316+00:00,ts_boot_restore_consistency,ts,Boot-time restore can expose an inconsistent running state before threads are restored.,1,200,True,1250,86231,6,21367,1250,22617,length,39725.384,0,9506.54,30018.231,41.64136121145847,0,4979,,"The user wants me to identify a ""boot-time restore consistency bug"" in the provided codebase. Let me analyze the code carefully.\n\nLooking at the scenario: ""Boot-time restore can expose an inconsistent running state before threads are restored.""\n\nLet me trace through the restore flow:\n\n1. In `GameRuntimeServer.start()`:\n   - It calls `await this.restoreSession()`\n   - Then it calls `this.startTimer",
2026-04-07T07:45:13.733131+00:00,ts_runtime_metrics_protocol,ts,Runtime metrics exist server-side but are not exposed to the client in a protocol-first way.,1,200,True,1250,98189,7,24300,1250,25550,length,41821.724,0,10878.606,30292.972,41.26369641116758,0,5171,,The user wants me to propose the smallest protocol-first change set to expose runtime metrics to the client HUD. Let me analyze the current state:\n\n1. **Current State**:\n   - `apps/game-runtime/src/runtime/metrics.ts` has a `MetricsTracker` class that tracks:\n     - `turnsTotal`\n     - `invalidOutputCount`\n     - `actionAppliedCount`\n     - `actionRejectedCount`\n     - `queuedActions`\n   - These m,
